user_id,position,item_id,split
1,0,3309,train
4,0,8935,train
4,1,5097,train
4,2,8071,train
4,3,8346,train
4,4,10162,train
5,0,3614,train
5,1,9884,train
5,2,3905,train
5,3,8661,train
7,0,5380,train
7,1,456,train
7,2,2419,train
7,3,4276,train
7,4,2938,train
7,5,3767,train
7,6,3081,train
9,0,7139,train
11,0,10112,train
13,0,5062,train
13,1,6968,train
17,0,8445,train
17,1,9193,train
17,2,9194,train
17,3,10257,train
17,4,10346,train
18,0,2161,train
19,0,6308,train
19,1,7294,train
20,0,4504,train
21,0,330,train
21,1,331,train
21,2,2016,train
21,3,2034,train
21,4,3473,train
24,0,5604,train
26,0,270,train
26,1,10084,train
26,2,276,train
26,3,4667,train
26,4,8683,train
26,5,9368,train
26,6,10597,train
29,0,6902,train
29,1,6992,train
32,0,3142,train
33,0,5305,train
33,1,23,train
33,2,10453,train
33,3,925,train
34,0,466,train
34,1,490,train
34,2,2243,train
34,3,4309,train
34,4,4504,train
34,5,8217,train
34,6,9194,train
35,0,3877,train
35,1,4652,train
35,2,5510,train
35,3,5966,train
35,4,6115,train
35,5,2269,train
35,6,6002,train
35,7,6433,train
35,8,4482,train
35,9,8558,train
35,10,8729,train
35,11,9455,train
35,12,9459,train
35,13,9591,train
35,14,8643,train
35,15,9883,train
35,16,9250,train
35,17,2618,train
35,18,2619,train
35,19,9252,train
35,20,2616,train
35,21,2617,train
35,22,4438,train
35,23,9249,train
35,24,10669,train
35,25,10697,train
35,26,10701,train
35,27,3713,train
35,28,10570,train
35,29,10807,train
36,0,2924,train
36,1,7817,train
36,2,3113,train
36,3,3703,train
37,0,6848,train
37,1,8558,train
37,2,9584,train
37,3,9589,train
37,4,9591,train
37,5,10527,train
37,6,10560,train
37,7,3714,train
37,8,10689,train
38,0,5185,train
38,1,5324,train
38,2,5325,train
38,3,5393,train
38,4,6494,train
38,5,7723,train
38,6,5801,train
38,7,6031,train
38,8,7651,train
39,0,9734,train
39,1,10003,train
40,0,2463,train
40,1,6857,train
40,2,6861,train
40,3,6864,train
41,0,5521,train
42,0,5976,train
42,1,5986,train
45,0,226,train
45,1,3896,train
45,2,6803,train
45,3,6806,train
49,0,3012,train
49,1,9243,train
49,2,1689,train
49,3,2422,train
50,0,2576,train
50,1,52,train
50,2,484,train
50,3,1520,train
50,4,4711,train
51,0,1733,train
51,1,2932,train
51,2,4179,train
51,3,1491,train
52,0,771,train
52,1,1929,train
52,2,2638,train
52,3,3926,train
52,4,2500,train
52,5,9567,train
53,0,340,train
53,1,8278,train
53,2,2439,train
53,3,5256,train
53,4,6085,train
53,5,8233,train
53,6,8823,train
53,7,8646,train
54,0,4168,train
54,1,3357,train
54,2,6327,train
54,3,7418,train
54,4,3420,train
54,5,6952,train
55,0,6483,train
55,1,7316,train
55,2,7613,train
55,3,5532,train
55,4,2174,train
55,5,6457,train
55,6,7478,train
55,7,3112,train
55,8,8415,train
55,9,7971,train
55,10,9291,train
55,11,8346,train
55,12,4992,train
57,0,4022,train
57,1,2897,train
57,2,6148,train
57,3,5196,train
58,0,2721,train
58,1,6207,train
58,2,6699,train
58,3,7002,train
58,4,7936,train
58,5,198,train
58,6,5383,train
58,7,1463,train
58,8,329,train
58,9,5534,train
58,10,3208,train
58,11,2924,train
59,0,5953,train
59,1,2021,train
59,2,4055,train
59,3,7564,train
59,4,6868,train
59,5,7000,train
59,6,1767,train
59,7,4186,train
60,0,719,train
60,1,769,train
60,2,1801,train
60,3,2707,train
60,4,3035,train
60,5,7767,train
60,6,9632,train
60,7,2921,train
60,8,6358,train
60,9,6672,train
62,0,843,train
62,1,1506,train
62,2,1507,train
62,3,3065,train
63,0,3181,train
63,1,3347,train
63,2,5510,train
63,3,9583,train
63,4,9586,train
63,5,9594,train
63,6,10697,train
64,0,3548,train
64,1,6432,train
64,2,6433,train
64,3,2471,train
65,0,1926,train
65,1,102,train
65,2,262,train
65,3,552,train
65,4,3772,train
65,5,7846,train
71,0,3653,train
71,1,3540,train
71,2,9265,train
71,3,9882,train
71,4,3049,train
71,5,10384,train
72,0,1576,train
72,1,3779,train
72,2,3166,train
72,3,4440,train
72,4,6769,train
72,5,8029,train
73,0,3361,train
73,1,8379,train
73,2,3762,train
73,3,4023,train
73,4,9308,train
74,0,9467,train
74,1,10692,train
74,2,10559,train
74,3,10505,train
75,0,10281,train
75,1,10689,train
76,0,162,train
76,1,247,train
77,0,2883,train
77,1,4992,train
77,2,5676,train
77,3,4168,train
77,4,5244,train
78,0,8819,train
78,1,1592,train
78,2,8091,train
79,0,2467,train
79,1,2986,train
79,2,4910,train
79,3,10290,train
80,0,3988,train
80,1,2031,train
80,2,46,train
80,3,3251,train
80,4,8312,train
81,0,7129,train
81,1,7214,train
81,2,7522,train
81,3,2036,train
81,4,4913,train
81,5,5097,train
81,6,5351,train
81,7,3226,train
81,8,5029,train
81,9,5563,train
81,10,8123,train
81,11,8149,train
81,12,8242,train
81,13,9034,train
81,14,10739,train
82,0,6301,train
82,1,1117,train
82,2,3989,train
84,0,1353,train
84,1,2810,train
84,2,70,train
84,3,1261,train
84,4,2557,train
84,5,1351,train
84,6,10381,train
85,0,898,train
85,1,4417,train
85,2,3944,train
85,3,1696,train
85,4,4617,train
86,0,2008,train
86,1,2373,train
86,2,3199,train
86,3,267,train
86,4,6451,train
86,5,8785,train
86,6,6767,train
86,7,3742,train
88,0,720,train
88,1,4031,train
88,2,2376,train
88,3,2607,train
88,4,2763,train
88,5,3757,train
88,6,4653,train
90,0,226,train
90,1,4984,train
90,2,3503,train
90,3,8128,train
92,0,10480,train
94,0,1584,train
94,1,2199,train
94,2,2075,train
94,3,1911,train
95,0,482,train
95,1,3698,train
95,2,5830,train
95,3,5877,train
95,4,7094,train
95,5,9391,train
95,6,6612,train
95,7,5880,train
96,0,4270,train
96,1,6434,train
97,0,6905,train
97,1,3194,train
97,2,2027,train
97,3,3595,train
97,4,3831,train
97,5,1212,train
98,0,1273,train
98,1,4690,train
98,2,1293,train
98,3,6527,train
99,0,9359,train
99,1,11101,train
100,0,2505,train
100,1,5199,train
100,2,5518,train
100,3,8249,train
100,4,486,train
103,0,6432,train
103,1,8073,train
103,2,7910,train
103,3,916,train
103,4,10705,train
103,5,10565,train
103,6,8555,train
103,7,5292,train
103,8,10669,train
104,0,266,train
104,1,8643,train
105,0,7134,train
