window,split,user_raw_id,user_id,item_id
W3,val,AN5T6MAD6FC5I,20337,6
W3,val,A3UC3YT2E65LZO,16887,33
W3,val,A3UC3YT2E65LZO,16887,28
W3,val,A13IRKEEPFTWFM,568,29
W3,val,A13IRKEEPFTWFM,568,51
W3,val,A13IRKEEPFTWFM,568,52
W3,val,A13IRKEEPFTWFM,568,95
W3,val,A13IRKEEPFTWFM,568,97
W3,val,ACXCS6NRA4EVU,18644,30
W3,val,ACXCS6NRA4EVU,18644,955
W3,val,ACXCS6NRA4EVU,18644,912
W3,val,ACXCS6NRA4EVU,18644,728
W3,val,ACXCS6NRA4EVU,18644,954
W3,val,AVYEYDC974DMD,21723,39
W3,val,A3M174IC0VXOS2,15464,1100
W3,val,A3M174IC0VXOS2,15464,559
W3,val,A3M174IC0VXOS2,15464,1050
W3,val,A3M174IC0VXOS2,15464,1016
W3,val,A3M174IC0VXOS2,15464,965
W3,val,A3M174IC0VXOS2,15464,3099
W3,val,A3M174IC0VXOS2,15464,947
W3,val,A3M174IC0VXOS2,15464,1035
W3,val,A3M174IC0VXOS2,15464,581
W3,val,A3M174IC0VXOS2,15464,1438
W3,val,A3M174IC0VXOS2,15464,5506
W3,val,A3M174IC0VXOS2,15464,1054
W3,val,A3M174IC0VXOS2,15464,1958
W3,val,A3M174IC0VXOS2,15464,865
W3,val,A3M174IC0VXOS2,15464,1241
W3,val,A3M174IC0VXOS2,15464,1131
W3,val,A3M174IC0VXOS2,15464,560
W3,val,A3M174IC0VXOS2,15464,1118
W3,val,A3M174IC0VXOS2,15464,571
W3,val,A3M174IC0VXOS2,15464,42
W3,val,A3M174IC0VXOS2,15464,783
W3,val,A3M174IC0VXOS2,15464,2735
W3,val,A3M174IC0VXOS2,15464,4304
W3,val,A3M174IC0VXOS2,15464,2225
W3,val,A3M174IC0VXOS2,15464,1198
W3,val,A3M174IC0VXOS2,15464,1077
W3,val,A3M174IC0VXOS2,15464,383
W3,val,A3M174IC0VXOS2,15464,1093
W3,val,A3M174IC0VXOS2,15464,1681
W3,val,AQ1F3NP2G15S5,20776,563
W3,val,AQ1F3NP2G15S5,20776,42
W3,val,AQ1F3NP2G15S5,20776,3767
W3,val,ACNON4BZACUUL,18597,44
W3,val,A1BHCE2409B5QF,1862,563
