user_id,position,item_id,timestamp
0,0,8796,4.057329680127669
0,1,1616,56.60713518298407
0,2,4560,145.48226345256427
0,3,5033,231.15161467094097
0,4,7514,239.09906005859375
1,0,2561,57.49530792351963
1,1,7932,97.37248828423243
1,2,9532,131.9918212890625
1,3,768,168.03352533250262
1,4,4213,191.2709503173828
1,5,8474,206.24096682083393
1,6,8644,296.8489074707031
1,7,9351,301.3631211914418
1,8,2014,330.14463651996533
1,9,11319,370.87481689453125
1,10,8611,377.6937255859375
1,11,5312,396.33125092811974
1,12,1194,402.80194091796875
1,13,10966,410.5562124818318
1,14,7238,421.7960205078125
1,15,4392,426.2524719238281
1,16,11735,467.0167033273884
1,17,7883,472.8939514160156
1,18,9314,491.1095886230469
2,0,709,117.3664779663086
2,1,10172,368.98681640625
2,2,11695,412.91424560546875
2,3,6465,457.09978538595067
2,4,5555,516.8488159179688
2,5,6322,570.1436767578125
3,0,5261,91.69931188592989
3,1,5548,105.8256607055664
3,2,9875,118.02450561523438
3,3,10613,123.91032409667969
3,4,1286,126.24069515334193
4,0,2610,118.35780334472656
4,1,1942,179.3758544921875
4,2,8474,181.60438759320456
4,3,3185,185.51776633206944
4,4,7313,238.98984637147836
4,5,5286,258.69677734375
4,6,1656,267.7008972167969
4,7,4565,300.22320556640625
4,8,3262,314.32322117769615
4,9,9833,318.51911701410813
4,10,3090,324.8757629394531
4,11,8376,327.3681335449219
4,12,5151,349.9166564941406
4,13,4678,356.74320645979236
5,0,90,278.5551195590102
5,1,8354,331.93170166015625
5,2,3540,515.7847290039062
5,3,3915,527.0213794281435
5,4,3709,564.63037109375
5,5,1805,594.6504480389893
5,6,7110,644.3214742918141
5,7,9256,708.082275390625
6,0,9492,71.85607929353766
6,1,9749,168.71311950683594
6,2,8201,201.54439286939584
6,3,8615,236.82723999023438
6,4,1730,241.1925832925055
6,5,6779,244.45184326171875
6,6,6852,252.54098783575265
6,7,8706,256.60475762194056
6,8,9231,267.59173583984375
6,9,10768,314.32171630859375
6,10,5797,325.9306640625
6,11,11116,337.1744384765625
6,12,7077,357.8558349609375
6,13,11517,358.50886851839476
7,0,9562,32.76652145385742
7,1,8487,82.65433502197266
7,2,2641,90.94587707519531
7,3,9316,93.96845485386353
7,4,11186,171.49574279785156
8,0,5388,198.76150512695312
8,1,6651,239.17860547199928
8,2,10662,305.564453125
8,3,6028,416.9913330078125
8,4,1716,438.9767150878906
8,5,10055,439.51387821505523
9,0,2761,147.16574312177346
9,1,10839,157.81126063889369
9,2,979,176.29969787597656
9,3,323,192.04067993164062
9,4,11291,196.87973022460938
9,5,4669,204.46156118582104
9,6,11825,205.323486328125
9,7,5117,215.48236083984375
9,8,6295,231.35299682617188
9,9,10482,257.4403991699219
9,10,4452,263.9316411073938
9,11,2224,264.474876031452
9,12,7213,270.5047607421875
9,13,3954,277.79351806640625
10,0,6946,88.84625391449387
10,1,4603,101.1750717163086
11,0,4793,102.65577694319501
11,1,8631,154.25047290852436
11,2,3261,165.93148803710938
11,3,1619,242.0152992191283
11,4,1480,245.61500549316406
12,0,8684,65.69413757324219
12,1,11670,79.71983337402344
12,2,2224,88.48104095458984
12,3,692,88.7090835571289
12,4,4684,91.46671620839959
12,5,11496,92.50103194370341
