sid_prefix,collision_group_size,dedup_last,item_id,asin,item_text
36-78-170,33,0,6449,B003VGMOR2,"Gelish soak off sealer gel top it off Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,1,6458,B003VMDJW0,"Gelish #343 Red Roses UV Soak Off Gel Polish by Nail Harmony Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,2,6459,B003VMEUJ6,"Harmony Gelish UV Soak Off Gel Polish Ivory Coast Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,3,6461,B003VMFITM,"Harmony Gelish UV Soak Off Gel Polish Good Gossip Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,4,6463,B003VMJ01Y,"Harmony Gelish UV Soak Off Gel Polish Rendezvous Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,5,6466,B003VMOGSQ,"Harmony Gelish UV Soak Off Gel Polish Samuri Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,6,6469,B003VMSDY4,"Harmony Gelish UV Soak Off Gel Polish Reserve Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,7,6475,B003VMVDM8,"Harmony Gelish UV Soak Off Gel Polish Forever Beauty Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,8,6477,B003VMXH1S,"Harmony Gelish UV Soak Off Gel Polish Exhale Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,9,6478,B003VMXNCG,"Harmony Gelish UV Soak Off Gel Polish High Bridge Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,10,6479,B003VMXOXO,"Harmony Gelish UV Soak Off Gel Polish Tiger Blossom Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,11,6480,B003VMXSIK,"Harmony Gelish UV Soak Off Gel Polish Elegant Wish Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,12,6481,B003VMXXVW,"Harmony Gelish Uv Soak Off Gel Polish Deep Sea (0.5 Oz) Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,13,6483,B003VMZHKM,"Harmony Gelish UV Soak Off Gel Polish Passion Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,14,6484,B003VMZRYI,"Harmony Gelish UV Soak Off Gel Polish Sweet Chocolate Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,15,6485,B003VMZTCI,"Harmony Gelish UV Soak Off Gel Polish Bella's Vampire Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,16,6487,B003VN00YY,"Harmony Gelish UV Soak Off Gel Polish Silver Sand Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,17,6488,B003VN1ING,"Harmony Gelish UV Soak Off Gel Polish June Brid Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,18,6613,B003ZUOCN8,"Harmony Gelish UV Soak Off Gel Polish Caution Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,19,6615,B003ZUZCDC,"Harmony Gelish UV Soak Off Gel Polish Rose Garden Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,20,6616,B003ZUZDD6,"Harmony Gelish UV Soak Off Gel Polish Sea Foam Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,21,7477,B004NMTMUK,"Harmony Gelish UV Soak Off Gel Polish High Voltage Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,22,7478,B004NMVP82,"Harmony Gelish UV Soak Off Gel Polish Grand Jewels Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,23,7479,B004NMXMUG,"Harmony Gelish Gel Polish Pink Smoothie Harmony This color gel is conveniently designed by \""Gelish by Harmony\"" with a twist cap and applicator brush, apply like polishes, and cured under UV & LED lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,24,7480,B004NMXMZ6,"Harmony Gelish UV Soak Off Gel Polish It's a Lily Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,25,7481,B004NMYM96,"Harmony Gelish UV Soak Off Gel Polish Glamour Queen Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,26,7483,B004NN0FIW,"Harmony Gelish UV Soak Off Gel Polish Champagne Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,27,7608,B004SS6IKG,"Harmony Gelish UV Soak Off Gel Polish Need a Tan Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,28,7613,B004SSIW5K,"Harmony Gelish UV Soak Off Gel Polish Up In The Blue Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,29,7614,B004SSM396,"Harmony Gelish UV Soak Off Gel Polish Plum and Done Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,30,7616,B004SSTOCK,"Harmony Gelish UV Soak Off Gel Polish Snow Bunny Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,31,7633,B004T49ZEK,"Harmony Gelish UV Soak Off Gel Polish Jet Set Harmony This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
36-78-170,33,32,7907,B0050PMZNK,"Harmony Gelish UV Soak Off Gel Polish Queen of Hearts Gelish This color gel is conveniently designed by ""Gelish by Harmony"" with a twist cap and applicator brush, apply like polishes, and cured under UV lamp. Color gels are meant to use on natural nails. These products are made to satisfy natural-nail wearers who long wish their color would last for more than two weeks. Color gels will stay on nails for three weeks with no chipping or peeling, and soak completely off in only 15 minutes. Makeup Nails Beauty Nail Polish"
88-226-81,14,0,2655,B000ZV3V46,Konad Nail Art Stamping Polish - Yellow KONAD Nail Art Konad Nail Art Stamping Polish - Yellow Beauty Tools & Accessories Nail Art Equipment Nail Tools
88-226-81,14,1,2657,B000ZV5SLK,Konad Stamping Nail Art Image Plate - M19 KONAD Nail Art Konad Stamping Nail Art Image Plate - M19 Beauty Tools & Accessories Nail Art Equipment Nail Tools
88-226-81,14,2,2658,B000ZV5SZ6,Konad Stamping Nail Art Image Plate - M45 KONAD Nail Art IMAGE PLATE Beauty Tools & Accessories Nail Art Equipment Nail Tools
