step,train/loss_epoch,train/loss_step
99,,22.33924865722656
199,,20.93428039550781
299,,19.96678352355957
399,,19.44983673095703
499,,15.3128662109375
599,,15.419270515441896
699,,18.072444915771484
799,,15.639097213745115
899,,15.14474868774414
999,,13.082387924194336
1099,,13.231003761291504
1199,,12.15372371673584
1299,,10.586540222167969
1399,,14.054643630981444
1499,,12.867162704467772
1599,,12.013813972473145
1699,,8.869468688964844
1799,,8.90654468536377
1899,,11.06544017791748
1999,,9.348581314086914
2099,,12.426143646240234
2199,,11.964983940124512
2299,,10.79626178741455
2399,,10.94395923614502
2499,,9.446025848388672
2599,,9.33284854888916
2699,,7.875317573547363
2799,,10.876118659973145
2899,,11.089933395385742
2999,,10.143306732177734
3099,,7.485824108123779
3199,,8.522043228149414
3299,,8.536619186401367
3399,,7.00611686706543
3499,,10.3759183883667
3599,,10.260045051574709
3699,,9.926140785217283
3799,,8.064197540283203
3899,,8.154986381530762
3999,,8.37246036529541
4099,,7.349968910217285
4199,,10.665968894958496
4299,,10.204172134399414
4399,,8.757965087890625
4499,,9.869013786315918
4599,,9.379176139831545
4699,,6.533926010131836
4799,,6.610736846923828
4899,,9.748783111572266
4999,,9.682905197143556
5099,,8.578763961791992
5199,,9.531767845153809
5299,,7.818265438079834
5399,,6.836479187011719
5499,,6.633485317230225
5599,,9.67261028289795
5699,,9.910237312316896
5799,,8.908266067504883
5899,,8.179810523986816
5999,,8.179344177246094
6099,,6.332029342651367
6199,,6.129141807556152
6299,,9.475815773010254
6399,,9.490154266357422
6499,,9.142714500427246
6599,,9.285194396972656
6699,,8.53616714477539
6799,,7.473902225494385
6899,,5.327730655670166
6999,,9.458226203918455
7099,,9.207274436950684
7199,,6.815783500671387
7299,,8.674493789672852
7399,,5.972179889678955
7499,,7.247473239898682
7599,,5.859580993652344
7699,,9.021246910095217
7799,,9.398679733276367
7899,,8.454120635986328
7999,,9.186935424804688
8099,,7.181099891662598
8199,,7.214395046234131
8299,,9.41777801513672
8399,,9.32186794281006
8499,,8.90299129486084
8599,,8.83841323852539
8699,,7.692816257476807
8799,,7.838746070861816
8899,,6.612585544586182
8999,,9.74111270904541
9099,,9.14820671081543
9199,,8.62617015838623
9299,,7.036737442016602
9399,,6.311324119567871
9499,,8.112435340881348
9599,,6.241444110870361
9699,,9.520923614501951
9799,,9.061315536499023
9899,,8.6371431350708
9999,,8.187804222106934
10099,,7.366331577301025
10199,,7.131847381591797
10299,,6.363839149475098
10399,,9.183143615722656
10499,,9.127084732055664
10599,,8.499191284179688
10699,,6.066557884216309
10799,,7.309525012969971
10899,,7.160453796386719
10999,,6.214254856109619
11099,,9.153228759765623
11199,,8.954160690307617
11299,,8.172797203063965
11399,,7.305939674377441
11499,,6.636241436004639
11599,,7.191302299499512
11699,,5.9166178703308105
11799,,9.099865913391112
11899,,8.767738342285156
11999,,7.725107669830322
12099,,8.378473281860352
12199,,8.297707557678223
12299,,5.903724670410156
12399,,5.772475242614746
12499,,8.76416301727295
12599,,8.596109390258789
12699,,7.7339558601379395
12799,,7.885706424713135
12899,,6.836491107940674
12999,,6.298191547393799
13099,,5.278640270233154
13199,,8.793947219848633
13299,,8.642280578613281
13399,,8.029242515563965
13499,,7.341203212738037
13599,,7.136058807373047
13699,,5.195728778839111
13799,,5.426399230957031
13899,,8.92387580871582
13999,,8.937785148620605
14099,,8.685708999633789
14199,,8.335454940795898
