item_id,asin,code_1,code_2,code_3,code_4,dedup_last,sid,sid_prefix,collision_group_size,is_collided,item_text
0,7806397051,37,110,242,27,0,37-110-242-27-0,37-110-242-27,1,False,"WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette COKA An extensive range of 15 multiple vibrant long wear concealer colour with different skin tones to create more than 10,000 amazing looks. Using the most commonly applied shades, ensures the best skin colour match and guarantees a traceless and natural finish. Enabling layering and mixing, provides total camouflage for almost any skin problem including blemishes, scars, birthmarks and black circles. It is also suitable to use as bronzer. The light colour is suitable for redness, acne and so on. The medium colour is perfect for dark shadows in the under-eye area. The dark colour provides exceptional camouflage and adheres well to the skin. Silky glossy colour and high quality ingredients together to care skin around and can last for all day long. It is perfect for Professional Salon, Wedding, Party and Home use. Size: 15.4 x 10.2 x 1.3cm. Each Diameter: 2.6cm. Concealer: 15 Color Concealer. Makeup Beauty Concealers & Neutralizers Face"
1,9759091062,219,93,255,163,0,219-93-255-163-0,219-93-255-163,1,False,"Xtreme Brite Brightening Gel 1oz. Xtreme Brite Xtreme Brite  Brightening gel is a highly concentrated gel that helps to obtain a clearer and brighter complexion. It helps remove blackheads and cosmetic acne. Beauty Styling Products Hair Care Creams, Gels & Lotions"
2,9788072216,196,156,8,223,0,196-156-8-223-0,196-156-8-223,1,False,"Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women Prada Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women : Prada Candy launched in 2011 has taken all vivacious young feminine hearts in its grasp. The caramela, musky, and balmy accords are irresistible for the graceful or the vivacious. A creation by the perfumer Daniela Andrier, it enlivens the young heart of the applicant and tantalizes the smeller. It is a companion of the flirtatious and the sensuous. The musky notes dominate over the top followed by the chypre benzoin. The gourmand caramel is a surprise at the base when you start feeling that you know the Prada trick. The exquisite flacon with embossed brand name and attractive stopper gives a start to the temptation. Fragrance Women's Beauty Eau de Parfum"
3,9790790961,220,218,90,207,0,220-218-90-207-0,220-218-90-207,1,False,"Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce Versace Versace Bright Crystal Perfume for Women 3 oz Eau De Toilette Spray Inspired by a mixture of Donatella Versace's favorite floral fragrances, Bright Crystal is a fresh, sensual blend of refreshing chilled yuzu and pomegranate mingled with soothing blossoms of peony, magnolia, and lotus flower, warmed with notes of musk and amber. Notes: Iced Accord, Yuzu, Pomegranate, Peony, Magnolia, Lotus Flower, Acajou, Vegetal Amber, Musk. Style: Sheer. Sensual. Luminous. Recommend Use: Day, Evening, Night Fragrance Women's Beauty Eau de Toilette"
4,9790794231,59,114,64,216,0,59-114-64-216-0,59-114-64-216,1,False,Stella McCartney Stella STELLA For Women By STELLA MCCARTNEY 1.7 oz EDP Spray Fragrance Women's Beauty Eau de Parfum
5,B00004TMFE,103,77,138,163,0,103-77-138-163-0,103-77-138-163,1,False,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Organics. Our commitment to organic agriculture extends beyond personal care formulation to a passion for home-grown sustainability, a cleaner global environment and, of course, personal health. Our dedication to these ideals is summarized in our pledge, Consciousness in Cosmetics: To honor our bodies and the world we live in by creating an extraordinary range of truly effective personal care products that are inherently pure, safe and certified to the NSF/ANSI 305 Standard for Personal Care Products Containing Organic Ingredients. Each of our products is made with organic ingredients, including botanicals, extracts and essential oils. We honor ourselves, our planet and our users with the Consciousness in Cosmetics promise. We urge you to take time to honor yourself everyday. Beauty Hair Care Conditioners"
6,B00004TUBL,65,55,202,135,0,65-55-202-135-0,65-55-202-135,1,False,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes a 'patented pump technology' and comes with a lifetime warranty. Perfect for the kitchen, vanity, shower, laundry, garage, pool, office, restaurant, etc.  The liquid is stored in a two 14 oz. refillable chambers.  With one or two strokes of the pump, just the right amount of shampoo, conditioner or liquid soap is dispensed. Classic Dispenser allows you to buy your favorite liquids in bulk to save money and reduce plastic consumption, which in turn will reduce the impact of all those empty plastic bottles in our landfill sites.  Installs in minutes without tools using silicone and two way tape (included). Beauty Bath & Body Bath Trays Bathing Accessories"
7,B00004TUBV,65,223,202,216,0,65-223-202-216-0,65-223-202-216,1,False,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect solution to eliminate bathtub bottle clutter and costly spills. Originally designed as a multi-shampoo organizer designed to eliminate bathtub mess. The Ulti-Mate Dispenser III allows you to organize a variety of shower liquids used in the household. Liquids are stored in 15 oz. refillable chambers hidden behind an attractive shell that easily attaches to the shower wall with silicone glue and two-way tape (included). With a fog-resistant mirror perfect for shaving in the shower and a soap dish plus hooks to neatly hang razors The unique top shelf holds extra bottles and shower items. With one or two strokes of the pump, just the right amount of shampoo, conditioner, lotion, liquid soap or shower gel is dispensed ensuring there is no excess which would otherwise go down the drain. The Ulti-Mate Dispenser III allows you to buy your favorite liquids in bulk to save money and reduce plastic consumption, which in turn will reduce the impact of all those empty plastic bottles in our landfill sites. Installs in minutes without tools using silicone and two way tape (included). Beauty Bath & Body Bath Trays Bathing Accessories"
8,B00004U9UY,121,114,156,81,0,121-114-156-81-0,121-114-156-81,1,False,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watched your favorite gardeners spend hours lovingly pampering their plants, doting all weekend over tulips or carrots or tomatoes, but when was the last time they doted on themselves? Crabtree & Evelyn has come to the rescue of gardeners' hands everywhere with their full line of lavish skin care products. This luxuriant Gardeners Hand Therapy has a base of shea butter, famous for its moisturizing qualities. The cream has a great musky scent and makes for great pampering after a long day in the dirt, soothing and protecting a gardener's work-roughened hands. Combine this with other Crabtree & Evelyn accessories like their Gardeners Vegetable Soap or Hand Scrub for a fantastic gift set. Indulge your favorite gardeners (or yourself) with this well-deserved treat.--Ariel Meadow Stallings Hands & Nails Hand Creams & Lotions Beauty Skin Care"
9,B00004U9V2,121,195,156,208,0,121-195-156-208-0,121-195-156-208,3,True,"Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long day of handling thorny situations, our new hand therapy pump is just the help you need. It contains shea butter as well as extracts of yarrow, clover and calendula to help soothe and condition work-roughened hands. Hands & Nails Hand Creams & Lotions Beauty Skin Care"
