sid_prefix,collision_group_size,dedup_last,item_id,asin,item_text
10-247-73-201,20,0,384,B00021AQCY,Fekkai Shea Butter Moisturizing Shampoo Hair Products 8 Fl Oz Fekkai Shampoos Beauty Hair Care
10-247-73-201,20,1,901,B000ALBJ40,Fekkai Glossing Hair Conditioner 2 Fl Oz Fekkai Beauty Hair Care Conditioners
10-247-73-201,20,2,2125,B000R8WOT0,Fekkai Technician Color Care Shampoo Hair Products 16 Fl Oz Shampoos Beauty Hair Care
10-247-73-201,20,3,2742,B0011S49IY,Fekkai Glossing Shampoo Hair Product 2 Fl Oz Fekkai Shampoos Beauty Hair Care
10-247-73-201,20,4,5508,B0030GFXO4,Fekkai Technician Color Care 3-Minute Hair Mask 7 Oz Fekkai Beauty Hair Care
10-247-73-201,20,5,5510,B0030GFY02,Fekkai Glossing Hair Products Starter 1 Kit Fekkai Beauty Hair Care
10-247-73-201,20,6,11563,B00EYZY5TY,Fekkai Apple Cider Shampoo 236ml/8oz Fekkai Shampoos Beauty Hair Care
10-247-73-201,20,7,11564,B00EYZY5VC,Fekkai Prx Oil 1.6 Fl Oz Fekkai Hair & Scalp Treatments Beauty Hair Care
10-247-73-201,20,8,11565,B00EYZY684,"Fekkai Prx Shampoo 8 Fl Oz, 8.000-Fluid Ounce Fekkai Shampoos Beauty Hair Care"
10-247-73-201,20,9,11566,B00EYZY68Y,"Fekkai Prx Conditioner 8 Fl Oz, 8.000-Fluid Ounce Fekkai Beauty Hair Care Conditioners"
10-247-73-201,20,10,11618,B00FRDPMQC,"Fekkai Brilliant Glossing Creme 4 Oz Frederic Fekkai Beauty Styling Products Hair Care Creams, Gels & Lotions"
10-247-73-201,20,11,11619,B00FRDPNA2,Fekkai Technician Color Care Conditioner 236ml/8oz Fekkai Beauty Hair Care Conditioners
10-247-73-201,20,12,11620,B00FRDPNM0,Fekkai Brilliant Glossing Conditioner 236ml/8oz Fekkai Beauty Hair Care Conditioners
10-247-73-201,20,13,11621,B00FRDPOVU,Fekkai Full Blown Volume Shampoo 236ml/8oz Fekkai Shampoos Beauty Hair Care
10-247-73-201,20,14,11622,B00FRDPP6O,Fekkai Technician Color Care Shampoo 236ml/8oz Fekkai Shampoos Beauty Hair Care
10-247-73-201,20,15,11623,B00FRDPR4O,Fekkai Full Blown Volume Conditioner 236ml/8oz Fekkai Beauty Hair Care Conditioners
10-247-73-201,20,16,11624,B00FRDPRBW,Fekkai Essential Shea Shampoo 8 Fl Oz Fekkai Shampoos Beauty Hair Care
10-247-73-201,20,17,11625,B00FRDPRQ2,Fekkai Brilliant Glossing Shampoo 236ml/8oz Fekkai Shampoos Beauty Hair Care
10-247-73-201,20,18,11626,B00FRDPSE8,Fekkai Essential Shea Conditioner 8 Fl Oz Fekkai Beauty Hair Care Conditioners
10-247-73-201,20,19,11727,B00GMWMMOW,Fekkai Sheer Hold Hair Spray 8oz Fekkai Beauty Styling Products Hair Sprays Hair Care
117-25-190-144,19,0,2657,B000ZV5SLK,Konad Stamping Nail Art Image Plate - M19 KONAD Nail Art Konad Stamping Nail Art Image Plate - M19 Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,1,2658,B000ZV5SZ6,Konad Stamping Nail Art Image Plate - M45 KONAD Nail Art IMAGE PLATE Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,2,3956,B001GMOKWU,Konad Stamping Nail Art Image Plate - M54 Konad nail art stencil with 7 designs. Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,3,4172,B001LTVF2G,"Konad Stamping Nail Art Image Plate - M3 KONAD Nail Art Konad nail art stencil with stars, hearts and bows. Makeup Nails Beauty Nail Polish"
117-25-190-144,19,4,4173,B001LTVF7G,Konad Stamping Nail Art Image Plate - M56 KONAD Nail Art Konad nail art stencil with 7 designs. Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,5,4265,B001OBPFVS,Konad Stamping Nail Art Image Plate - M26 KONAD Nail Art Konad nail art stencil with 7 flower designs. Beauty Tools & Accessories False Nails Nail Tools
117-25-190-144,19,6,5362,B002VCJHU4,Konad Stamping Nail Art Image Plate M64 KONAD Nail Art Konad Stamping Nail Art Image Plate - M64 Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,7,5363,B002VCJI76,Konad Stamping Nail Art Image Plate M65 KONAD Nail Art Konad Stamping Nail Art Image Plate Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,8,5364,B002VCV2AM,Konad Stamping Nail Art Image Plate - M66 KONAD Konad Stamping Nail Art Image Plate M66 Makeup Nails Beauty Nail Polish
117-25-190-144,19,9,5365,B002VCXIEK,Konad Stamping Nail Art Image Plate M71 KONAD Nail Art Konad Stamping Nail Art Image Plate M71 Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,10,5366,B002VCXS36,Konad Stamping Nail Art Image Plate S6 KONAD Nail Art Konad Stamping Nail Art Image Plate S6 Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,11,5514,B0030GZXPI,Konad Stamping Nail Art Image Plate M63 KONAD Konad Stamping Nail Art Image Plate M63 Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,12,6080,B003I810EQ,Konad Stamping Nail Art Image Plate - M79 KONAD Nail Art Konad Stamping Nail Art Image Plate - M79 Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,13,8901,B006H2Z564,Konad Stamping Nail Art Image Plate - M21 KONAD Nail Art Konad Stamping Nail Art Image Plate - M21 Beauty Tools & Accessories False Nails Nail Tools
117-25-190-144,19,14,8902,B006H2Z58C,"Konad Stamping Nail Art Image Plate - M59 KONAD Nail Art Konad nail art stencil with bows, hearts and snow flakes. Beauty Tools & Accessories Nail Art Equipment Nail Tools"
117-25-190-144,19,15,8903,B006H2Z5KK,Konad Nail Art - Stamping Image Plate - M60 KONAD Nail Art Konad nail art stencil with 5 designs. Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,16,8904,B006H2Z6T0,Konad Stamping Nail Art Image Plate - M25 KONAD Nail Art stamping plate Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,17,8905,B006H2ZASC,Konad Stamping Nail Art Image Plate - M73 KONAD Nail Art Konad Stamping Nail Art Image Plate - M73 Beauty Tools & Accessories Nail Art Equipment Nail Tools
117-25-190-144,19,18,9741,B008216IL4,Konad Stamping Nail Art Image Plate - M84 Konad Stamping Nail Art Image Plate Beauty Tools & Accessories Nail Art Equipment Nail Tools
69-184-218-77,17,0,10875,B00AUH172S,Lovely Vintage Jewelry Crystal Peacock Hair Clips - for hair clip Beauty Tools Multicolor Yang Jewelry You can choose which color do you want Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,1,10877,B00AUV9GH2,Lovely Vintage Jewelry Crystal Butterfly Hairpins Hair stick - for hair Beauty Tools Oyang Lovely Vintage Jewelry Crystal Butterfly Hairpins Hair stick - for hair Beauty Tools Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,2,10879,B00AUVPOLO,Beautiful Jewelry Flowers Hair Clips - for hair clip Beauty Tools Oyang Color: Black Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,3,10923,B00AZ73YSS,Lovely Vintage Jewelry Crystal Butterfly bowknot Hairpins Hair stick - for hair Beauty Tools Oyang colorful butterfly Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,4,10991,B00B4CYVBC,Fashion Vintage Jewelry Crystal Peacock Hair Clip E-for hair clips Beauty Tools Oyang Fashion Vintage Jewelry Crystal Peacock Hair Clip E-for hair clips Beauty Tools Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,5,11089,B00BFTYX3K,Beautiful Jewelry Flowers Crystal Hair Clips - for hair clip Beauty Tools Oyang Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,6,11102,B00BIFWYTG,Lovely Vintage Jewelry Crystal Peacock Hair Clips F- for hair clip Beauty Tools Oyang Lovely Vintage Jewelry Crystal Peacock Hair Clips F- for hair clip Beauty Tools Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,7,11128,B00BM4GG9C,Free shipping-Oyang Lovely Vintage Jewelry Crystal Peacock Hair Clips - for hair clip Beauty Tools Oyang Free shipping-Oyang Lovely Vintage Jewelry Crystal Peacock Hair Clips - for hair clip Beauty Tools Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,8,11162,B00BRW1AFO,GOYESTORE Lovely Vintage Jewelry Crystal Butterfly bowknot Hairpins Hair stick - for hair Beauty Tools GOYESTORE GOYESTORE Lovely Vintage Jewelry Crystal Butterfly bowknot Hairpins Hair stick - for hair Beauty Tools Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,9,11251,B00CDQD1FA,Free shipping-Oyang Green Vintage Jewelry Crystal Butterfly Hairpins Hair stick - for hair Beauty Tools-Oyang Oyang Free shipping-Oyang Green Vintage Jewelry Crystal Butterfly Hairpins Hair stick - for hair Beauty Tools-Oyang Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,10,11357,B00D06ARFO,Victorian Bronze Crystal Jewelry Butterfly With Flower Hair Clip Alligator Clip (Purple) Vintage style hair clip - good for daily wearing or party purpose.We pack all our product with great care. Hair Care Beauty Styling Accessories Styling Tools Clips
69-184-218-77,17,11,11436,B00DPTW8JY,"Lovely Vintage Jewelry Crystal Hair Clips Hairpins- For Hair Clip Beauty Tools Jolin If you have any question,Please feel free to contact me.thank you

Wish you happy every day Hair Care Beauty Styling Accessories Styling Tools Clips"
69-184-218-77,17,12,11437,B00DPU6ZAG,"Lovely Vintage Jewelry Crystal Hair Clips Hairpins- For Hair Clip Beauty Tools Jolin If you have any question,Please feel free to contact me.thank you

Wish you happy every day Hair Care Beauty Styling Accessories Styling Tools Clips"
69-184-218-77,17,13,11456,B00DSLFNQ4,Ibeauty(TM) Fashion Love heart Jewelry Crystal Hair Clips Hairpin - for hair clip hairpins Beauty Tools Oyang Free shipping-Oyang Fashion Love heart Jewelry Crystal Hair Clips Hairpin - for hair clip hairpins Beauty Tools Hair Care Beauty Styling Accessories Styling Tools Clips
